Datetime,Measurement,Presence
25/12/2018 00:01,21.18087196,Yes
25/12/2018 00:02,27.53321409,Yes
25/12/2018 00:03,17.49372244,Yes
25/12/2018 00:05,23.26582193,Yes
25/12/2018 00:06,21.18087196,Yes
25/12/2018 00:06,27.53321409,Yes
25/12/2018 00:08,17.49372244,Yes
25/12/2018 00:10,23.26582193,Yes
25/12/2018 00:11,21.18087196,Yes
25/12/2018 00:15,27.53321409,Yes
25/12/2018 00:16,17.49372244,Yes
25/12/2018 00:17,23.26582193,Yes
25/12/2018 00:21,21.18087196,Yes
25/12/2018 00:25,27.53321409,Yes
25/12/2018 00:28,17.49372244,Yes
25/12/2018 00:30,23.26582193,Yes
25/12/2018 00:31,21.18087196,Yes
25/12/2018 00:35,27.53321409,Yes
25/12/2018 00:38,17.49372244,Yes
25/12/2018 00:41,21.18087196,Yes
25/12/2018 00:45,27.53321409,Yes
25/12/2018 00:48,17.49372244,Yes
25/12/2018 00:50,23.26582193,Yes
25/12/2018 00:53,19.32171322,Yes
25/12/2018 01:01,21.18087196,Yes
25/12/2018 01:01,27.53321409,Yes
25/12/2018 01:01,17.49372244,Yes
25/12/2018 01:01,23.26582193,Yes
25/12/2018 01:01,27.47327805,Yes
25/12/2018 01:01,11.58529282,Yes
25/12/2018 01:02,18.76945257,Yes
25/12/2018 01:02,17.93123245,Yes
25/12/2018 01:02,18.69445562,Yes
25/12/2018 01:02,18.17107916,Yes
25/12/2018 01:03,26.90901279,Yes
25/12/2018 01:03,27.9598546,Yes
25/12/2018 01:03,15.91950417,Yes
25/12/2018 01:12,19.8120141,Yes
25/12/2018 01:13,29.95921373,Yes
25/12/2018 01:13,19.52170372,Yes
25/12/2018 01:13,28.84703875,Yes
25/12/2018 01:14,26.3691783,Yes
25/12/2018 01:15,27.14197636,Yes
25/12/2018 01:15,20.70199251,Yes
25/12/2018 01:15,27.37095356,Yes
25/12/2018 01:15,29.78339195,Yes
25/12/2018 01:17,28.58943939,Yes
25/12/2018 01:18,22.62376547,Yes
25/12/2018 01:18,13.23978901,Yes
25/12/2018 01:18,26.50820017,Yes
25/12/2018 01:19,10.79055071,Yes
25/12/2018 01:25,22.26803303,Yes
25/12/2018 01:26,29.71796989,Yes
25/12/2018 01:26,28.87157202,Yes
25/12/2018 01:34,24.04260635,Yes
25/12/2018 01:36,22.24758863,Yes
25/12/2018 01:36,29.411304,Yes
25/12/2018 01:37,29.43174839,Yes
25/12/2018 01:38,24.70091581,Yes
25/12/2018 01:39,21.94092274,Yes
25/12/2018 01:39,14.13525343,Yes
25/12/2018 01:39,29.79565859,Yes
25/12/2018 01:39,28.61397266,Yes
25/12/2018 01:40,27.75530815,Yes
25/12/2018 01:40,19.35675144,Yes
25/12/2018 01:40,7.932424545,Yes
25/12/2018 01:40,15.83622694,Yes
25/12/2018 01:40,21.23763561,Yes
25/12/2018 01:40,19.88012791,Yes
25/12/2018 01:50,25.40829182,Yes
25/12/2018 02:06,23.98536205,Yes
25/12/2018 02:21,27.85753012,Yes
25/12/2018 02:26,27.89024115,Yes
25/12/2018 02:26,29.41948175,Yes
25/12/2018 02:41,27.93521881,Yes
25/12/2018 02:42,28.22144032,Yes
25/12/2018 02:57,23.21256399,Yes
25/12/2018 03:13,22.48883247,Yes
25/12/2018 03:29,27.88615227,Yes
25/12/2018 03:32,26.30375624,Yes
25/12/2018 03:45,26.50411129,Yes
25/12/2018 03:48,28.09468508,Yes
25/12/2018 03:49,28.2623291,Yes
25/12/2018 04:01,23.82998466,Yes
25/12/2018 09:13,17.97471046,Yes
25/12/2018 09:13,29.53397036,Yes
25/12/2018 09:13,23.12260866,Yes
25/12/2018 09:13,29.73432541,Yes
25/12/2018 09:14,12.29525805,Yes
25/12/2018 09:14,29.39903736,Yes
25/12/2018 09:17,28.05788517,Yes
25/12/2018 09:18,26.33237839,Yes
25/12/2018 09:33,27.03975439,Yes
25/12/2018 09:36,29.72614765,Yes
25/12/2018 09:49,23.92402887,Yes
25/12/2018 09:52,10.16904116,Yes
25/12/2018 10:05,23.82180691,Yes
25/12/2018 10:08,12.9535675,Yes
25/12/2018 10:08,29.05557156,Yes
25/12/2018 10:10,29.80792522,Yes
25/12/2018 10:21,28.00472975,Yes
25/12/2018 10:36,27.94748545,Yes
25/12/2018 10:37,29.47672606,Yes
25/12/2018 10:37,29.86108065,Yes
25/12/2018 10:40,28.92063856,Yes
25/12/2018 10:42,13.70183229,Yes
25/12/2018 10:52,27.87797451,Yes
25/12/2018 10:58,18.14235449,Yes
25/12/2018 11:01,26.27922297,Yes
25/12/2018 11:02,25.71904659,Yes
25/12/2018 11:02,25.37558079,Yes
25/12/2018 11:03,18.17097664,Yes
25/12/2018 11:03,23.19620848,Yes
25/12/2018 11:04,18.02377701,Yes
25/12/2018 11:04,26.41415596,Yes
25/12/2018 11:04,28.22961807,Yes
25/12/2018 11:08,24.08758402,Yes
25/12/2018 11:24,29.84063625,Yes
25/12/2018 11:32,11.03997231,Yes
25/12/2018 11:40,28.02926302,Yes
25/12/2018 11:43,11.83321476,Yes
25/12/2018 11:43,29.59530354,Yes
25/12/2018 11:46,21.14768028,Yes
25/12/2018 11:46,28.00472975,Yes
25/12/2018 11:47,12.31570244,Yes
25/12/2018 11:47,21.2785244,Yes
25/12/2018 11:47,29.40721512,Yes
25/12/2018 11:48,6.971538067,Yes
25/12/2018 11:52,29.61574793,Yes
25/12/2018 11:52,29.93468046,Yes
25/12/2018 11:53,20.64883709,Yes
25/12/2018 11:53,15.87711573,Yes
25/12/2018 11:56,28.42997313,Yes
25/12/2018 11:59,13.49329948,Yes
25/12/2018 12:00,26.32828951,Yes
25/12/2018 12:00,23.34340811,Yes
25/12/2018 12:01,22.08812237,Yes
25/12/2018 12:04,22.83229828,Yes
25/12/2018 12:06,27.54677534,Yes
25/12/2018 12:06,24.46376085,Yes
25/12/2018 12:06,21.13132477,Yes
25/12/2018 12:10,29.51761484,Yes
25/12/2018 12:11,21.87550068,Yes
25/12/2018 12:12,17.8152442,Yes
25/12/2018 12:13,28.80614996,Yes
25/12/2018 12:27,27.43228674,Yes
25/12/2018 12:30,28.434062,Yes
25/12/2018 12:36,19.77381706,Yes
25/12/2018 12:36,19.52848434,Yes
25/12/2018 12:36,29.30908203,Yes
25/12/2018 12:43,28.02926302,Yes
25/12/2018 12:44,29.03512716,Yes
25/12/2018 12:59,28.08650732,Yes
25/12/2018 13:15,23.86269569,Yes
25/12/2018 13:18,27.35868692,Yes
25/12/2018 13:20,29.36223745,Yes
25/12/2018 13:22,23.62145185,Yes
25/12/2018 13:26,26.37735605,Yes
25/12/2018 13:27,29.8324585,Yes
25/12/2018 13:31,23.88314009,Yes
25/12/2018 13:35,25.79264641,Yes
25/12/2018 13:35,29.50943708,Yes
25/12/2018 13:36,29.54623699,Yes
25/12/2018 13:37,25.78446865,Yes
25/12/2018 13:39,28.63850594,Yes
25/12/2018 13:46,28.05379629,Yes
25/12/2018 13:47,20.69381475,Yes
25/12/2018 13:47,7.069671154,Yes
25/12/2018 13:47,23.53149652,Yes
25/12/2018 13:53,29.51761484,Yes
25/12/2018 13:53,29.39494848,Yes
25/12/2018 13:57,29.48899269,Yes
25/12/2018 13:58,25.35922527,Yes
25/12/2018 13:58,18.40404272,Yes
25/12/2018 14:02,28.19281816,Yes
25/12/2018 14:03,27.15015411,Yes
25/12/2018 14:05,29.0473938,Yes
25/12/2018 14:05,29.67708111,Yes
25/12/2018 14:11,19.64706182,Yes
25/12/2018 14:18,23.94447327,Yes
25/12/2018 14:20,25.04438162,Yes
25/12/2018 14:20,29.34588194,Yes
25/12/2018 14:23,20.42803764,Yes
25/12/2018 14:23,11.93134785,Yes
25/12/2018 14:23,28.4913063,Yes
25/12/2018 14:28,27.84935236,Yes
25/12/2018 14:29,29.21503782,Yes
25/12/2018 14:32,21.42572403,Yes
25/12/2018 14:32,20.80830336,Yes
25/12/2018 14:33,28.99423838,Yes
25/12/2018 14:33,29.97556925,Yes
25/12/2018 14:34,29.74250317,Yes
25/12/2018 14:34,29.2968154,Yes
25/12/2018 14:34,23.96900654,Yes
25/12/2018 14:34,23.02447557,Yes
25/12/2018 14:34,23.29843044,Yes
25/12/2018 14:36,24.73362684,Yes
25/12/2018 14:39,28.56490612,Yes
25/12/2018 14:40,16.38413668,Yes
25/12/2018 14:41,17.59035587,Yes
25/12/2018 14:43,22.8282094,Yes
25/12/2018 14:43,17.451334,Yes
25/12/2018 14:43,20.91052532,Yes
25/12/2018 14:43,9.850108624,Yes
25/12/2018 14:44,24.43922758,Yes
25/12/2018 14:53,9.527087212,Yes
25/12/2018 14:53,29.47672606,Yes
25/12/2018 14:55,29.91832495,Yes
25/12/2018 14:55,25.16704798,Yes
25/12/2018 14:56,15.80760479,Yes
25/12/2018 14:57,12.02948093,Yes
25/12/2018 14:59,29.96739149,Yes
25/12/2018 14:59,12.19303608,Yes
25/12/2018 15:00,17.25506783,Yes
25/12/2018 15:01,26.7698884,Yes
25/12/2018 15:02,29.23957109,Yes
25/12/2018 15:02,20.10092735,Yes
25/12/2018 15:03,11.27303839,Yes
25/12/2018 15:04,17.77435541,Yes
25/12/2018 15:05,23.35976362,Yes
25/12/2018 15:06,27.98019648,Yes
25/12/2018 15:06,22.16989994,Yes
25/12/2018 15:07,18.41630936,Yes
