Date,Time,Measurement,Presence
25/12/2018,01:01:11,42.18087196,Yes
25/12/2018,01:01:13,47.53321409,Yes
25/12/2018,01:01:27,57.49372244,Yes
25/12/2018,01:01:32,53.26582193,Yes
25/12/2018,01:01:38,57.47327805,Yes
25/12/2018,01:01:50,51.58529282,Yes
25/12/2018,01:02:25,58.76945257,Yes
25/12/2018,01:02:27,57.93123245,Yes
25/12/2018,01:02:49,48.69445562,Yes
25/12/2018,01:02:53,48.17107916,Yes
25/12/2018,01:03:00,56.90901279,Yes
25/12/2018,01:03:49,57.9598546,Yes
25/12/2018,01:03:53,55.91950417,Yes
25/12/2018,01:12:25,29.8120141,Yes
25/12/2018,01:13:21,29.95921373,Yes
25/12/2018,01:13:46,29.52170372,Yes
25/12/2018,01:13:51,28.84703875,Yes
25/12/2018,01:14:15,26.3691783,Yes
25/12/2018,01:15:15,27.14197636,Yes
25/12/2018,01:15:17,20.70199251,Yes
25/12/2018,01:15:22,27.37095356,Yes
25/12/2018,01:15:28,29.78339195,Yes
25/12/2018,01:17:16,28.58943939,Yes
25/12/2018,01:18:08,22.62376547,Yes
25/12/2018,01:18:21,13.23978901,Yes
25/12/2018,01:18:28,26.50820017,Yes
25/12/2018,01:19:06,10.79055071,Yes
25/12/2018,01:25:10,22.26803303,Yes
25/12/2018,01:26:18,29.71796989,Yes
25/12/2018,01:26:56,28.87157202,Yes
25/12/2018,01:34:54,24.04260635,Yes
25/12/2018,01:36:12,22.24758863,Yes
25/12/2018,01:36:15,29.411304,Yes
25/12/2018,01:37:23,29.43174839,Yes
25/12/2018,01:38:37,24.70091581,Yes
25/12/2018,01:39:16,21.94092274,Yes
25/12/2018,01:39:18,14.13525343,Yes
25/12/2018,01:39:36,29.79565859,Yes
25/12/2018,01:39:38,28.61397266,Yes
25/12/2018,01:40:02,27.75530815,Yes
25/12/2018,01:40:05,19.35675144,Yes
25/12/2018,01:40:08,7.932424545,Yes
25/12/2018,01:40:10,15.83622694,Yes
25/12/2018,01:40:13,21.23763561,Yes
25/12/2018,01:40:16,19.88012791,Yes
25/12/2018,01:50:54,25.40829182,Yes
25/12/2018,02:06:46,23.98536205,Yes
25/12/2018,02:21:54,27.85753012,Yes
25/12/2018,02:26:46,27.89024115,Yes
25/12/2018,02:26:51,29.41948175,Yes
25/12/2018,02:41:54,27.93521881,Yes
25/12/2018,02:42:52,28.22144032,Yes
25/12/2018,02:57:54,23.21256399,Yes
25/12/2018,03:13:54,22.48883247,Yes
