Datetime,Weather,Wind_speed,humidity,temperature,Presence
28/12/2018 00:00,5,6.7,70,17.5,22
28/12/2018 01:00,5,7.2,71,17.25,0
28/12/2018 02:00,5,7.075,68.5,17.25,0
28/12/2018 03:00,5,7.2,74.5,17,0
28/12/2018 04:00,5,6.575,69.5,17,0
28/12/2018 05:00,5,6.825,70.75,17,0
28/12/2018 06:00,5,6.7,68.25,17,0
28/12/2018 07:00,5,7.2,72,17,0
28/12/2018 08:00,5,6.575,72,17.25,0
28/12/2018 09:00,5,6.2,75.75,18,0
28/12/2018 10:00,5,7.075,72,19.75,13
28/12/2018 11:00,5,8.075,68,20.75,39
28/12/2018 12:00,5,8.325,68,21,24
28/12/2018 13:00,5,8.45,68,21,26
28/12/2018 14:00,5,8.45,68,21,29
28/12/2018 15:00,5,8.325,68,21,90
28/12/2018 16:00,5,8.325,71.5,20.75,73
28/12/2018 17:00,5,8.2,72,20,17
28/12/2018 18:00,5,7.7,75.75,19.25,15
28/12/2018 19:00,5,7.325,77,19,6
28/12/2018 20:00,4.75,5.525,79.5,18.25,9
28/12/2018 21:00,4,5.525,75.75,18.25,11
28/12/2018 22:00,4,5.525,78.25,18.25,22
28/12/2018 23:00,4,5.4,77,18,45
