Datetime,Weather,Wind_speed,humidity,temperature,Presence
31/12/2018 00:00,6,2.85,28,18.5,0
31/12/2018 01:00,6,2.225,33.25,18,0
31/12/2018 02:00,6,2.225,47.5,17,0
31/12/2018 03:00,6,2.6,55,17.5,0
31/12/2018 04:00,6,2.35,61,17,0
31/12/2018 05:00,6,2.975,68.5,16.25,0
31/12/2018 06:00,6,2.85,69.5,16,0
31/12/2018 07:00,6,2.6,72,16,0
31/12/2018 08:00,5.5,1.8,72,16,0
31/12/2018 09:00,5.75,2.2,69,17.75,4
31/12/2018 10:00,5.25,1.25,64,19.75,16
31/12/2018 11:00,6,1.5,63,20,10
31/12/2018 12:00,6,2.35,60,20.75,10
31/12/2018 13:00,6,4.62,58.4,21,57
31/12/2018 14:00,6,6.325,54,21,46
31/12/2018 15:00,6,5.95,51.25,21,49
31/12/2018 16:00,6,4.75,52.25,20.25,70
31/12/2018 17:00,6,3.475,53,20,56
31/12/2018 18:00,6,2.725,53.75,19.5,25
31/12/2018 19:00,6,1.925,57,18.5,23
31/12/2018 20:00,6,2.225,58,17.5,6
31/12/2018 21:00,6,2.35,51,17.25,33
31/12/2018 22:00,6,2.2,35.25,16.75,23
31/12/2018 23:00,6,1.5,67.25,15.75,9
