Datetime,Activity_h
25/12/2018 00:00,24
25/12/2018 01:00,46
25/12/2018 02:00,7
25/12/2018 03:00,6
25/12/2018 04:00,1
25/12/2018 05:00,0
25/12/2018 06:00,0
25/12/2018 07:00,0
25/12/2018 08:00,0
25/12/2018 09:00,12
25/12/2018 10:00,12
25/12/2018 11:00,26
25/12/2018 12:00,19
25/12/2018 13:00,21
25/12/2018 14:00,39
25/12/2018 15:00,70
25/12/2018 16:00,66
25/12/2018 17:00,9
25/12/2018 18:00,33
25/12/2018 19:00,36
25/12/2018 20:00,63
25/12/2018 21:00,85
25/12/2018 22:00,32
25/12/2018 23:00,61
26/12/2018 00:00,9
26/12/2018 01:00,0
26/12/2018 02:00,0
26/12/2018 03:00,0
26/12/2018 04:00,0
26/12/2018 05:00,0
26/12/2018 06:00,0
26/12/2018 07:00,0
26/12/2018 08:00,15
26/12/2018 09:00,4
26/12/2018 10:00,36
26/12/2018 11:00,7
26/12/2018 12:00,3
26/12/2018 13:00,5
26/12/2018 14:00,0
26/12/2018 15:00,61
26/12/2018 16:00,37
26/12/2018 17:00,28
26/12/2018 18:00,32
26/12/2018 19:00,9
26/12/2018 20:00,5
26/12/2018 21:00,3
26/12/2018 22:00,8
26/12/2018 23:00,5
27/12/2018 00:00,3
27/12/2018 01:00,0
27/12/2018 02:00,0
27/12/2018 03:00,0
27/12/2018 04:00,0
27/12/2018 05:00,0
27/12/2018 06:00,0
27/12/2018 07:00,0
27/12/2018 08:00,1
27/12/2018 09:00,5
27/12/2018 10:00,4
27/12/2018 11:00,3
27/12/2018 12:00,13
27/12/2018 13:00,18
27/12/2018 14:00,59
27/12/2018 15:00,133
27/12/2018 16:00,48
27/12/2018 17:00,12
27/12/2018 18:00,24
27/12/2018 19:00,41
27/12/2018 20:00,4
27/12/2018 21:00,17
27/12/2018 22:00,13
27/12/2018 23:00,18
28/12/2018 00:00,22
28/12/2018 01:00,0
28/12/2018 02:00,0
28/12/2018 03:00,0
28/12/2018 04:00,0
28/12/2018 05:00,0
28/12/2018 06:00,0
28/12/2018 07:00,0
28/12/2018 08:00,0
28/12/2018 09:00,0
28/12/2018 10:00,13
28/12/2018 11:00,39
28/12/2018 12:00,24
28/12/2018 13:00,26
28/12/2018 14:00,29
28/12/2018 15:00,90
28/12/2018 16:00,73
28/12/2018 17:00,17
28/12/2018 18:00,15
28/12/2018 19:00,6
28/12/2018 20:00,9
28/12/2018 21:00,11
28/12/2018 22:00,22
28/12/2018 23:00,45
29/12/2018 00:00,17
29/12/2018 01:00,8
29/12/2018 02:00,0
29/12/2018 03:00,0
29/12/2018 04:00,0
29/12/2018 05:00,0
29/12/2018 06:00,0
29/12/2018 07:00,0
29/12/2018 08:00,14
29/12/2018 09:00,35
29/12/2018 10:00,28
29/12/2018 11:00,15
29/12/2018 12:00,21
29/12/2018 13:00,11
29/12/2018 14:00,10
29/12/2018 15:00,40
29/12/2018 16:00,78
29/12/2018 17:00,26
29/12/2018 18:00,50
29/12/2018 19:00,25
29/12/2018 20:00,6
29/12/2018 21:00,3
29/12/2018 22:00,50
29/12/2018 23:00,24
30/12/2018 00:00,0
30/12/2018 01:00,0
30/12/2018 02:00,0
30/12/2018 03:00,0
30/12/2018 04:00,0
30/12/2018 05:00,0
30/12/2018 06:00,0
30/12/2018 07:00,0
30/12/2018 08:00,0
30/12/2018 09:00,10
30/12/2018 10:00,9
30/12/2018 11:00,23
30/12/2018 12:00,9
30/12/2018 13:00,6
30/12/2018 14:00,60
30/12/2018 15:00,78
30/12/2018 16:00,38
30/12/2018 17:00,11
30/12/2018 18:00,7
30/12/2018 19:00,2
30/12/2018 20:00,5
30/12/2018 21:00,4
30/12/2018 22:00,20
30/12/2018 23:00,15
31/12/2018 00:00,0
31/12/2018 01:00,0
31/12/2018 02:00,0
31/12/2018 03:00,0
31/12/2018 04:00,0
31/12/2018 05:00,0
31/12/2018 06:00,0
31/12/2018 07:00,0
31/12/2018 08:00,0
31/12/2018 09:00,4
31/12/2018 10:00,16
31/12/2018 11:00,10
31/12/2018 12:00,10
31/12/2018 13:00,57
31/12/2018 14:00,46
31/12/2018 15:00,49
31/12/2018 16:00,70
31/12/2018 17:00,56
31/12/2018 18:00,25
31/12/2018 19:00,23
31/12/2018 20:00,6
31/12/2018 21:00,33
31/12/2018 22:00,23
31/12/2018 23:00,9
