Datetime,Weather,Wind_speed,humidity,temperature,Presence
29/12/2018 00:00,3.25,5.95,75.75,18,17
29/12/2018 01:00,3,6.075,74.5,17.25,8
29/12/2018 02:00,3,6.2,72,17,0
29/12/2018 03:00,3,5.95,70.75,17,0
29/12/2018 04:00,3,6.45,68.5,17.25,0
29/12/2018 05:00,3.666666667,7.2,63,18,0
29/12/2018 06:00,4,6.95,63,18,0
29/12/2018 07:00,4,6.2,59,18.5,0
29/12/2018 08:00,3,6.45,63,19,14
29/12/2018 09:00,3.5,5.9,64.5,19,35
29/12/2018 10:00,5,9.3,58,20,28
29/12/2018 11:00,5,8.5,52,21,15
29/12/2018 12:00,4,8.45,56,21,21
29/12/2018 13:00,5,9.55,50.5,21.5,11
29/12/2018 14:00,5,8.1,58.4,21,10
29/12/2018 15:00,4.75,7.95,60,20.75,40
29/12/2018 16:00,3.75,6.95,64,20,78
29/12/2018 17:00,3,6.95,62,20,26
29/12/2018 18:00,3,6.325,66,19.25,50
29/12/2018 19:00,3,6.325,64.25,19,25
29/12/2018 20:00,3.25,4.75,60.25,19,6
29/12/2018 21:00,3.75,3.85,61.75,18.5,3
29/12/2018 22:00,3,4.725,55.25,19,50
29/12/2018 23:00,3,4.1,52,19,24
