Datetime,Weather,Wind_speed,humidity,temperature,Presence
30/12/2018 00:00,1.5,3.725,69.5,18.75,0
30/12/2018 01:00,2.5,3.725,77,17.5,0
30/12/2018 02:00,3,3.6,71,17.5,0
30/12/2018 03:00,3.75,3.475,71,17,0
30/12/2018 04:00,3.25,3.1,70.75,16.25,0
30/12/2018 05:00,3,3.475,66.25,17.5,0
30/12/2018 06:00,3,3.225,72,17,0
30/12/2018 07:00,3,2.1,72,17,0
30/12/2018 08:00,3,2.1,70,17.5,0
30/12/2018 09:00,3,2.6,72,18,10
30/12/2018 10:00,3,3.1,72,19,9
30/12/2018 11:00,3,1.8,68,19,23
30/12/2018 12:00,2,1.5,62,20,9
30/12/2018 13:00,2.5,2.05,64,20,6
30/12/2018 14:00,3,2.85,58,20,60
30/12/2018 15:00,3,2.1,62,20,78
30/12/2018 16:00,3,2.1,64,20,38
30/12/2018 17:00,3,2.225,64,20,11
30/12/2018 18:00,3,2.35,66,19.5,7
30/12/2018 19:00,3,2.1,68,19,2
30/12/2018 20:00,5,2.233333333,68.66666667,17.33333333,5
30/12/2018 21:00,6,0.75,49,18,4
30/12/2018 22:00,6,2.05,68,16.5,20
30/12/2018 23:00,6,3.1,81.75,18,15
