Datetime,Weather,Wind_speed,humidity,temperature,Presence
25/12/2018 00:00,6,6.366666667,30,19,20
25/12/2018 01:00,6,6.7,23.5,20,46
25/12/2018 02:00,6,6.95,21.5,21,7
25/12/2018 03:00,6,7.2,22.25,20.75,6
25/12/2018 04:00,5.5,5.55,24.75,19.5,1
25/12/2018 05:00,5,4.85,27,18,0
25/12/2018 06:00,5,4.975,27.5,17.75,0
25/12/2018 07:00,5.5,4.475,29.5,17.25,0
25/12/2018 08:00,6,5.125,30.75,18.5,0
25/12/2018 09:00,6,6.2,29.5,21,12
25/12/2018 10:00,6,6.95,28.75,22.75,12
25/12/2018 11:00,6,7.2,29.5,23.75,26
25/12/2018 12:00,6,7.45,27,24.5,19
25/12/2018 13:00,6,7.7,30.5,24,21
25/12/2018 14:00,6,6.825,35.25,24,39
25/12/2018 15:00,6,6.575,44.25,23,70
25/12/2018 16:00,6,6.575,57.25,21.25,66
25/12/2018 17:00,6,5.925,61,21,9
25/12/2018 18:00,6,3.725,63,20.25,33
25/12/2018 19:00,6,2.225,63.25,19.25,36
25/12/2018 20:00,6,1.525,67.25,17.25,63
25/12/2018 21:00,6,1.4475,67,17,85
25/12/2018 22:00,6,1.8475,65,17,32
25/12/2018 23:00,6,2.075,72,16.75,61
