Datetime,Weather,Wind_speed,humidity,temperature,Presence
26/12/2018 00:00,6,1.95,67.5,16,9
26/12/2018 01:00,6,2.1,54.75,16.25,0
26/12/2018 02:00,6,2.975,47.25,17.25,0
26/12/2018 03:00,6,3.6,46.5,17.25,0
26/12/2018 04:00,6,3.35,35.5,17,0
26/12/2018 05:00,6,3.725,34.75,17.75,0
26/12/2018 06:00,6,3.433333333,32,18,0
26/12/2018 07:00,6,2.85,100,17.5,0
26/12/2018 08:00,6,1.89,65.5,17,15
26/12/2018 09:00,6,0.75,57,18,4
26/12/2018 10:00,6,1,60,21,36
26/12/2018 11:00,6,1.5,62,21.5,7
26/12/2018 12:00,6,2.85,62,22,3
26/12/2018 13:00,6,2.6,64,22,5
26/12/2018 14:00,6,2.85,64,22,0
26/12/2018 15:00,6,2.6,64,22,61
26/12/2018 16:00,6,2.1,60,22,37
26/12/2018 17:00,6,2.1,64,21,28
26/12/2018 18:00,6,2.3,65.6,20.2,32
26/12/2018 19:00,6,2.475,71,18.75,9
26/12/2018 20:00,6,2.725,60,18,5
26/12/2018 21:00,6,2.225,29.75,18,3
26/12/2018 22:00,6,3.1,22.5,19,8
26/12/2018 23:00,6,3.6,24.25,18.75,5
